Parlor name,Phone number,Address
Great Relaxing And Awesome Massage,508-244-1636,"3 Union St; Westborough, MA, 01581"
Best Body Relax Massage,831-210-9920,"18 Harvest St; Salinas, CA, 93901"
Kim's Day Spa,714-968-8458,"18538 Beach Blvd.; Huntington Beach, CA, 92648"
Ocean Massage,650-568-3356,"2707 El Camino Real; Redwood City, CA, 94061"
Hibiscus Bodywork Spa,914-418-5250,"141 N. Central Ave (Route 9A); Elmsford, NY, 10523"
Acupuncture By Elaine,408-966-1888,"3110 Riddle Road; San Jose, CA, 95117"
Sakura Spa,212-661-6424,"141 E 45th St, 2nd Floor; New York City, NY, 10017"
Body Work Center,774-212-6328,"2 Fairlawn Ave; Oxford, MA, 01540"
Lucky Bamboo Massage,559-475-0744,"2816 N. Blackstone Ave, Suite A; Fresno, CA, 93703"
Sunshine Body Works,415-258-2828,"1514 5th Ave; San Rafael, CA, 94901"
Natural Health Care,,"952 Postal Way #1; Vista, CA, 92083"
Relax Massage,949-375-8998,"18023 Sky Park Circle #M; Irvine, CA, 92614"
Exotic Escapes,317-987-1172,"511 National Ave, Suite C; Indianapolis, IN, 46227"
Perfect Asian Bodywork,917-257-0576,"55-19 Metropolitan Ave; Queens, NY, 11385"
Grand Spa,415-482-8889,"777 Grand Avenue #203; San Rafael, CA, 94901"
BanThai Massage,651-497-1055,"6415 Hwy 10, Suite 106; Minneapolis, MN, 55303"
Golden Hydro Massage Therapy,707-795-3095,"7500 Commerce Blvd., Suite 120; Cotati, CA, 94931"
Far East Health Clinic,818-609-7738,"18700 Sherman Way, Suite 201; Reseda, CA, 91335"
Golden Lily,818-588-5868,"20929 Ventura Blvd Ste 20; Woodland Hills, CA, 91364"
Sacred Beauty - ES,212-592-3551,"Lexington Ave & E 50th St; New York City, NY, 10019"
Heavenly Touch,857-251-3064,"270 Centre St; Holbrook, MA, 02343"
Dolce Vita Bodywork,612-217-3530,"628 E 7th St; St Paul, MN, 55105"
Serenity Bay Massage,510-524-1177,"712 Gilman St.; Berkeley, CA, 94710"
Spa Of Green Valley,702-435-5453,"2895 N Green Valley Pkwy, Suite D; Henderson, NV, 89014"
Spa Sugerland,713-401-4987,"11316 Westheimer Rd; Houston, TX, 77077"
Aroma Spa,617-276-4046,"120 Cedar St; Wellesley, MA, 02481"
Thai Yoga & Bodywork By Kathy And Natalie,857-366-1128,"162 Kimball Ave,; Revere, MA, 02151"
Pearl Body Work,781-521-0607,"495 Main St; Stoneham, MA, 02180"
Asian Wellness Center,978-739-8429,"26 Locust Street; Danvers, MA, 01923"
Alice Beauty Salon,312-808-1688,"2810 S Wentworth Ave; Chicago, IL, 60616"
AQ Spa,334-277-9211,"421 Twain Curve; Montgomery, AL, 36117"
Lin Massage Therapy,510-883-9988,"2076 Ashby Ave, Suite A; Berkeley, CA, 94703"
Red Rose Spa,401-919-0655,"2 Pontiac Ave; Providence, RI, 02907"
Green Rose,808-589-2925,"1287 S King St; Honolulu, HI, 96814"
Venus Skin Care,909-452-5361,"5272 Francis Ave; Chino, CA, 91710"
K-Girls,323-388-9560,"Sawtelle Ave; Los Angeles, CA, 92114"
Angel Spa,347-931-0009,"35-12 Farrington St 2nd Floor; Flushing, NY, 11354"
JC Day Spa (John Claude),713-278-1944,"2900 Hilcroft St; Houston, TX, 77057"
Guang Ouyang Pain Management,650-588-8268,"250 El Camino Real; San Bruno, CA, 94066"
Kneading Therapy Massage,770-417-2338,"5947 Jimmy Carter Blvd. NW; Norcross, GA, 30071"
Rosa Spa,646-238-1769,"1 Bay 25th St; Brooklyn, NY, 11214"
Peyoung Spa,512-804-5200,"2620 S Interstate 35; Austin, TX, 78704"
Golden Spa,281-405-9666,"412 N Sam Houston Pkwy E, Suite E; Houston, TX, 77060"
Sparks Frieda,904-794-0507,"150 Kent Rd # 2A; Saint Augustine, FL, 32086"
Dexter Co.,949-391-8022,"216 Technology Drive; Irvine, CA, 92618"
Paradise Spa,818-810-8000,"14650 Roscoe Blvd #3; Panorama City, CA, 91402"
Balance Asian Spa,215-352-4386,"3133 Lincoln Hwy; Feasterville Trevose, PA, 19053"
Valley Massage Therapy,408-376-0298,"281 E Hamilton Ave Ste 9; Campbell, CA, 95008"
Friction Massage,602-220-9090,"5046 E. McDowell Rd.; Phoenix, AZ, 85008"
618 Healing Spa,973-778-7300,"618 Van Houten Ave; Clifton, NJ, 07013"
Golden Paradise,281-496-4445,"730 Hwy 6 S; Houston, TX, 77079"
Sunflower Spa,401-744-7816,"627 Douglas Ave; Providence, RI, 02908"
Lavish Massage,773-486-9005,"2643 W. Armitage Ave.; Chicago, IL, 60647"
Corona Day Spa,951-373-0199,"1390 W Sixth St #116; Corona, CA, 92882"
Golden Body Therapy,818-339-2416,"6422 1/2 Coldwater Canyon Ave; North Hollywood, CA, 91606"
Yong Kang Massage,415-816-5995,"3446 Balboa St; San Francisco, CA, 94121"
Spanish Spa,347-261-5335,"7201 16th Ave; Brooklyn, NY, 11204"
Sky Spa,678-971-4454,"548 Gordon Ave; Gainesville, GA, 30501"
Jennifer's Day Spa,718-389-4262,"99 Nassau Ave; Brooklyn, NY, 11222"
May's Asian Clinic & Spa,714-644-0037,"8740 Garden Grove Blvd; Garden Grove, CA, 92844"
Angela And Rhianna Korean Massage,408-786-6650,"Ask on the Phone; San Jose, CA, 95101"
The Power Massage,267-535-1055,"144 Ivy Lane; King Of Prussia, PA, 19406"
Thai Massage By Tina,917-582-3323,"3255 Steinway St; Astoria, NY, 11103"
Harmony Center,908-469-1411908-469-1410,"1019 E Jersey St; Elizabeth, NJ, 07201"
Gingi Body And Foot Care,914-288-0080,"99 Mamaroneck Ave; White Plains, NY, 10601"
Joy Acupuncture,949-273-2202,"17952 Sky Park Circle, Suite D; Irvine, CA, 92614"
Accupressure Health Center,510-883-9168,"1610 University Ave; Berkeley, CA, 94703"
Sky Spa,714-737-6292,"1631 E 17th St #E; Santa Ana, CA, 92844"
Mirage Day Spa,949-583-1863,"24602 Raymond Wy; Lake Forest, CA, 92630"
South Tulsa Wellness Center,918-806-2228,"7112 S Mingo Rd, Suite 102C; Tulsa, OK, 74133"
